feature,coefficient,abs_coefficient
categorical__WHERE_UP,0.10066956161783704,0.10066956161783704
numeric__resolution,0.08668604483716157,0.08668604483716157
numeric__anchor1_width,0.08668604483716157,0.08668604483716157
numeric__anchor2_width,0.08668604483716157,0.08668604483716157
numeric__loop_span,-0.08434641993543139,0.08434641993543139
categorical__WHERE_DOWN,-0.07580139487576792,0.07580139487576792
categorical__classification_Both_OK,0.06202283751166202,0.06202283751166202
numeric__distance,0.06118980949465493,0.06118980949465493
categorical__classification_One_OK,-0.03715467076959301,0.03715467076959301
numeric__has_tss_component,-0.023911744370231608,0.023911744370231608
numeric__has_promoter_component,0.023911744370231608,0.023911744370231608
numeric__n_assigned_genes,0.0,0.0
numeric__n_components,0.0,0.0
