feature,importance
numeric__distance_per_loop_span,0.22741561127254367
numeric__log_distance,0.21851545345682694
numeric__distance,0.21628215113686802
numeric__log_loop_span,0.13224388601782985
numeric__loop_span,0.13071844025834384
numeric__has_promoter_component,0.011062334557483292
numeric__has_tss_component,0.010731848068966631
numeric__anchor2_width,0.005872961495525861
numeric__anchor1_width,0.005774080284818262
numeric__anchor_width_sum,0.0054579624616080645
numeric__resolution,0.005424097656166781
categorical__WHERE_UP,0.00433116120946632
categorical__WHERE_DOWN,0.00417184818102596
categorical__where_classification_UP_One_OK,0.004043257399460456
categorical__where_classification_DOWN_One_OK,0.004027956204118927
categorical__classification_One_OK,0.003800416769564706
categorical__classification_Both_OK,0.003557328650447674
categorical__where_classification_UP_Both_OK,0.0034990452567463283
categorical__where_classification_DOWN_Both_OK,0.0030701596621882173
numeric__n_components,0.0
numeric__n_assigned_genes,0.0
numeric__anchor_width_diff,0.0
numeric__anchor_width_ratio,0.0
