feature,coefficient,abs_coefficient
numeric__distance,0.18898003721435874,0.18898003721435874
numeric__log_distance,-0.1648248815406209,0.1648248815406209
numeric__loop_span,-0.16164997195990574,0.16164997195990574
categorical__where_classification_UP_Both_OK,0.08909293182574911,0.08909293182574911
numeric__log_loop_span,0.08477542673157566,0.08477542673157566
categorical__WHERE_UP,0.07993327541609843,0.07993327541609843
numeric__resolution,0.06188141640667565,0.06188141640667565
numeric__anchor1_width,0.06188141640667565,0.06188141640667565
numeric__anchor2_width,0.06188141640667565,0.06188141640667565
numeric__anchor_width_sum,0.06188141640667565,0.06188141640667565
categorical__WHERE_DOWN,-0.05782829846060499,0.05782829846060499
categorical__where_classification_DOWN_Both_OK,-0.055060757770590364,0.055060757770590364
categorical__classification_Both_OK,0.03403217405515881,0.03403217405515881
numeric__distance_per_loop_span,-0.02835006815747218,0.02835006815747218
numeric__has_promoter_component,0.020031554741352323,0.020031554741352323
numeric__has_tss_component,-0.020031554741352323,0.020031554741352323
categorical__classification_One_OK,-0.011927197099665467,0.011927197099665467
categorical__where_classification_UP_One_OK,-0.00915965640965083,0.00915965640965083
categorical__where_classification_DOWN_One_OK,-0.0027675406900147734,0.0027675406900147734
numeric__anchor_width_ratio,0.0,0.0
numeric__anchor_width_diff,0.0,0.0
numeric__n_components,0.0,0.0
numeric__n_assigned_genes,0.0,0.0
