strain	PC1	PC2	PC3	sample_id	vcf_sample	mapping_status
SHR/OlaIpcv	-79.77004598986737	12.173027215041923	65.26889686158432	592BB	SHR_OlaIpcv	exact strain-name match
HXB10	-24.656747762879807	2.6896671844972477	-15.429104789918155	607	HXB10_Ipcv	exact strain-name match
F344/Stm	133.38968204944638	110.07298355287487	21.190405854318165	74AA	F344_StmMcwi	exact strain-name match
LE/Stm	95.14006451933014	-137.1233539189681	23.812605552215132	A2DB	LE_StmMcwi	exact strain-name match
BXH6	-25.960810858658775	2.785123908259638	-18.981806738463806	D765A	BXH6_Cub	exact strain-name match
HXB2	-33.220079544953954	4.04335808612321	-1.8518729683177386	DA08A	HXB2_Ipcv	exact strain-name match
SHR/OlaIpcvxBN/NHsdMcwi	-30.370507489079046	3.75011999179622	8.71058906392466	DA21A	SHR_BN_F1	inferred F1 match; confirm with genotype-data provider
HXB31	-28.00711685663534	3.3205497186797164	-9.899494592017136	DA68A	HXB31_Ipcv	exact strain-name match
HXB23	-27.272142303528504	3.1317259877331534	-14.090445553780015	DBA9A	HXB23_Ipcv	exact strain-name match
BN-Lx	20.727704236851018	-4.843201726019855	-58.729772689528446	DE8BA	BN-Lx_Cub	exact strain-name match
