strain1	strain2	allele_sharing_distance	n_snps_compared
SHR/OlaIpcv	SHR/OlaIpcv	0	24040
HXB10	SHR/OlaIpcv	0.1532281808622513	23775
F344/Stm	SHR/OlaIpcv	0.5971713810316134	24040
LE/Stm	SHR/OlaIpcv	0.572628951747089	24040
BXH6	SHR/OlaIpcv	0.15420756774896738	23838
HXB2	SHR/OlaIpcv	0.13618807724601076	23820
SHR/OlaIpcvxBN/NHsdMcwi	SHR/OlaIpcv	0.17377234007014838	23948
HXB31	SHR/OlaIpcv	0.14466256634930716	23738
HXB23	SHR/OlaIpcv	0.14902712264150872	23744
BN-Lx	SHR/OlaIpcv	0.2730033277870199	24040
SHR/OlaIpcv	HXB10	0.1532281808622513	23775
HXB10	HXB10	0	23775
F344/Stm	HXB10	0.4484121976866432	23775
LE/Stm	HXB10	0.42300736067298206	23775
BXH6	HXB10	0.12044259793115475	23588
HXB2	HXB10	0.11508441503351141	23574
SHR/OlaIpcvxBN/NHsdMcwi	HXB10	0.15825029555818731	23684
HXB31	HXB10	0.11237126563962899	23498
HXB23	HXB10	0.12014811031665049	23496
BN-Lx	HXB10	0.11167192429022098	23775
SHR/OlaIpcv	F344/Stm	0.5971713810316134	24040
HXB10	F344/Stm	0.4484121976866432	23775
F344/Stm	F344/Stm	0	24040
LE/Stm	F344/Stm	0.6507487520798696	24040
BXH6	F344/Stm	0.4528903431495949	23838
HXB2	F344/Stm	0.4662468513853888	23820
SHR/OlaIpcvxBN/NHsdMcwi	F344/Stm	0.5084140638049096	23948
HXB31	F344/Stm	0.455050973123261	23738
HXB23	F344/Stm	0.4545358827493263	23744
BN-Lx	F344/Stm	0.3477121464226316	24040
SHR/OlaIpcv	LE/Stm	0.572628951747089	24040
HXB10	LE/Stm	0.42300736067298206	23775
F344/Stm	LE/Stm	0.6507487520798696	24040
LE/Stm	LE/Stm	0	24040
BXH6	LE/Stm	0.4271331487540976	23838
HXB2	LE/Stm	0.4404701931150305	23820
SHR/OlaIpcvxBN/NHsdMcwi	LE/Stm	0.48344329380323914	23948
HXB31	LE/Stm	0.42985929732916894	23738
HXB23	LE/Stm	0.42918210916441824	23744
BN-Lx	LE/Stm	0.3225041597337735	24040
SHR/OlaIpcv	BXH6	0.15420756774896738	23838
HXB10	BXH6	0.12044259793115475	23588
F344/Stm	BXH6	0.4528903431495949	23838
LE/Stm	BXH6	0.4271331487540976	23838
BXH6	BXH6	0	23838
HXB2	BXH6	0.12529090678289123	23633
SHR/OlaIpcvxBN/NHsdMcwi	BXH6	0.16381742389153317	23749
HXB31	BXH6	0.11537645361174906	23562
HXB23	BXH6	0.11491105167069815	23553
BN-Lx	BXH6	0.11263528819531628	23838
SHR/OlaIpcv	HXB2	0.13618807724601076	23820
HXB10	HXB2	0.11508441503351141	23574
F344/Stm	HXB2	0.4662468513853888	23820
LE/Stm	HXB2	0.4404701931150305	23820
BXH6	HXB2	0.12529090678289123	23633
HXB2	HXB2	0	23820
SHR/OlaIpcvxBN/NHsdMcwi	HXB2	0.15803447258629055	23729
HXB31	HXB2	0.11611998640380675	23536
HXB23	HXB2	0.10540287983689499	23543
BN-Lx	HXB2	0.1301007556675027	23820
SHR/OlaIpcv	SHR/OlaIpcvxBN/NHsdMcwi	0.17377234007014838	23948
HXB10	SHR/OlaIpcvxBN/NHsdMcwi	0.15825029555818731	23684
F344/Stm	SHR/OlaIpcvxBN/NHsdMcwi	0.5084140638049096	23948
LE/Stm	SHR/OlaIpcvxBN/NHsdMcwi	0.48344329380323914	23948
BXH6	SHR/OlaIpcvxBN/NHsdMcwi	0.16381742389153317	23749
HXB2	SHR/OlaIpcvxBN/NHsdMcwi	0.15803447258629055	23729
SHR/OlaIpcvxBN/NHsdMcwi	SHR/OlaIpcvxBN/NHsdMcwi	0	23948
HXB31	SHR/OlaIpcvxBN/NHsdMcwi	0.15714466951410574	23647
HXB23	SHR/OlaIpcvxBN/NHsdMcwi	0.15670979198376747	23652
BN-Lx	SHR/OlaIpcvxBN/NHsdMcwi	0.18199849674293975	23948
SHR/OlaIpcv	HXB31	0.14466256634930716	23738
HXB10	HXB31	0.11237126563962899	23498
F344/Stm	HXB31	0.455050973123261	23738
LE/Stm	HXB31	0.42985929732916894	23738
BXH6	HXB31	0.11537645361174906	23562
HXB2	HXB31	0.11611998640380675	23536
SHR/OlaIpcvxBN/NHsdMcwi	HXB31	0.15714466951410574	23647
HXB31	HXB31	0	23738
HXB23	HXB31	0.11855340550677933	23462
BN-Lx	HXB31	0.1190917516218722	23738
SHR/OlaIpcv	HXB23	0.14902712264150872	23744
HXB10	HXB23	0.12014811031665049	23496
F344/Stm	HXB23	0.4545358827493263	23744
LE/Stm	HXB23	0.42918210916441824	23744
BXH6	HXB23	0.11491105167069815	23553
HXB2	HXB23	0.10540287983689499	23543
SHR/OlaIpcvxBN/NHsdMcwi	HXB23	0.15670979198376747	23652
HXB31	HXB23	0.11855340550677933	23462
HXB23	HXB23	0	23744
BN-Lx	HXB23	0.11491324123989388	23744
SHR/OlaIpcv	BN-Lx	0.2730033277870199	24040
HXB10	BN-Lx	0.11167192429022098	23775
F344/Stm	BN-Lx	0.3477121464226316	24040
LE/Stm	BN-Lx	0.3225041597337735	24040
BXH6	BN-Lx	0.11263528819531628	23838
HXB2	BN-Lx	0.1301007556675027	23820
SHR/OlaIpcvxBN/NHsdMcwi	BN-Lx	0.18199849674293975	23948
HXB31	BN-Lx	0.1190917516218722	23738
HXB23	BN-Lx	0.11491324123989388	23744
BN-Lx	BN-Lx	0	24040
