	SHR/OlaIpcv	HXB10	F344/Stm	LE/Stm	BXH6	HXB2	SHR/OlaIpcvxBN/NHsdMcwi	HXB31	HXB23	BN-Lx
SHR/OlaIpcv	0	0.153228180862251	0.597171381031613	0.572628951747089	0.154207567748967	0.136188077246011	0.173772340070148	0.144662566349307	0.149027122641509	0.27300332778702
HXB10	0.153228180862251	0	0.448412197686643	0.423007360672982	0.120442597931155	0.115084415033511	0.158250295558187	0.112371265639629	0.12014811031665	0.111671924290221
F344/Stm	0.597171381031613	0.448412197686643	0	0.65074875207987	0.452890343149595	0.466246851385389	0.50841406380491	0.455050973123261	0.454535882749326	0.347712146422632
LE/Stm	0.572628951747089	0.423007360672982	0.65074875207987	0	0.427133148754098	0.44047019311503	0.483443293803239	0.429859297329169	0.429182109164418	0.322504159733773
BXH6	0.154207567748967	0.120442597931155	0.452890343149595	0.427133148754098	0	0.125290906782891	0.163817423891533	0.115376453611749	0.114911051670698	0.112635288195316
HXB2	0.136188077246011	0.115084415033511	0.466246851385389	0.44047019311503	0.125290906782891	0	0.158034472586291	0.116119986403807	0.105402879836895	0.130100755667503
SHR/OlaIpcvxBN/NHsdMcwi	0.173772340070148	0.158250295558187	0.50841406380491	0.483443293803239	0.163817423891533	0.158034472586291	0	0.157144669514106	0.156709791983767	0.18199849674294
HXB31	0.144662566349307	0.112371265639629	0.455050973123261	0.429859297329169	0.115376453611749	0.116119986403807	0.157144669514106	0	0.118553405506779	0.119091751621872
HXB23	0.149027122641509	0.12014811031665	0.454535882749326	0.429182109164418	0.114911051670698	0.105402879836895	0.156709791983767	0.118553405506779	0	0.114913241239894
BN-Lx	0.27300332778702	0.111671924290221	0.347712146422632	0.322504159733773	0.112635288195316	0.130100755667503	0.18199849674294	0.119091751621872	0.114913241239894	0
