sample1	sample2	plink2_ibs_distance	strain1	strain2
592BB	592BB	0	SHR/OlaIpcv	SHR/OlaIpcv
607	592BB	0.127568	HXB10	SHR/OlaIpcv
74AA	592BB	0.488403	F344/Stm	SHR/OlaIpcv
A2DB	592BB	0.495693	LE/Stm	SHR/OlaIpcv
D765A	592BB	0.131213	BXH6	SHR/OlaIpcv
DA08A	592BB	0.121935	HXB2	SHR/OlaIpcv
DA21A	592BB	0.24387	SHR/OlaIpcvxBN/NHsdMcwi	SHR/OlaIpcv
DA68A	592BB	0.12061	HXB31	SHR/OlaIpcv
DBA9A	592BB	0.14049	HXB23	SHR/OlaIpcv
DE8BA	592BB	0.272366	BN-Lx	SHR/OlaIpcv
592BB	607	0.127568	SHR/OlaIpcv	HXB10
607	607	0	HXB10	HXB10
74AA	607	0.405235	F344/Stm	HXB10
A2DB	607	0.410537	LE/Stm	HXB10
D765A	607	0.132207	BXH6	HXB10
DA08A	607	0.127568	HXB2	HXB10
DA21A	607	0.240225	SHR/OlaIpcvxBN/NHsdMcwi	HXB10
DA68A	607	0.128893	HXB31	HXB10
DBA9A	607	0.150099	HXB23	HXB10
DE8BA	607	0.144798	BN-Lx	HXB10
592BB	74AA	0.488403	SHR/OlaIpcv	F344/Stm
607	74AA	0.405235	HXB10	F344/Stm
74AA	74AA	0	F344/Stm	F344/Stm
A2DB	74AA	0.534791	LE/Stm	F344/Stm
D765A	74AA	0.402253	BXH6	F344/Stm
DA08A	74AA	0.41882	HXB2	F344/Stm
DA21A	74AA	0.489066	SHR/OlaIpcvxBN/NHsdMcwi	F344/Stm
DA68A	74AA	0.409543	HXB31	F344/Stm
DBA9A	74AA	0.399602	HXB23	F344/Stm
DE8BA	74AA	0.294235	BN-Lx	F344/Stm
592BB	A2DB	0.495693	SHR/OlaIpcv	LE/Stm
607	A2DB	0.410537	HXB10	LE/Stm
74AA	A2DB	0.534791	F344/Stm	LE/Stm
A2DB	A2DB	0	LE/Stm	LE/Stm
D765A	A2DB	0.402253	BXH6	LE/Stm
DA08A	A2DB	0.41882	HXB2	LE/Stm
DA21A	A2DB	0.489066	SHR/OlaIpcvxBN/NHsdMcwi	LE/Stm
DA68A	A2DB	0.414844	HXB31	LE/Stm
DBA9A	A2DB	0.408217	HXB23	LE/Stm
DE8BA	A2DB	0.297548	BN-Lx	LE/Stm
592BB	D765A	0.131213	SHR/OlaIpcv	BXH6
607	D765A	0.132207	HXB10	BXH6
74AA	D765A	0.402253	F344/Stm	BXH6
A2DB	D765A	0.402253	LE/Stm	BXH6
D765A	D765A	0	BXH6	BXH6
DA08A	D765A	0.139828	HXB2	BXH6
DA21A	D765A	0.248509	SHR/OlaIpcvxBN/NHsdMcwi	BXH6
DA68A	D765A	0.128562	HXB31	BXH6
DBA9A	D765A	0.13784	HXB23	BXH6
