	592BB	607	74AA	A2DB	D765A	DA08A	DA21A	DA68A	DBA9A	DE8BA
592BB	0	0.127568	0.488403	0.495693	0.131213	0.121935	0.24387	0.12061	0.14049	0.272366
607	0.127568	0	0.405235	0.410537	0.132207	0.127568	0.240225	0.128893	0.150099	0.144798
74AA	0.488403	0.405235	0	0.534791	0.402253	0.41882	0.489066	0.409543	0.399602	0.294235
A2DB	0.495693	0.410537	0.534791	0	0.402253	0.41882	0.489066	0.414844	0.408217	0.297548
D765A	0.131213	0.132207	0.402253	0.402253	0	0.139828	0.248509	0.128562	0.13784	0.141153
DA08A	0.121935	0.127568	0.41882	0.41882	0.139828	0	0.24387	0.139165	0.12326	0.150431
DA21A	0.24387	0.240225	0.489066	0.489066	0.248509	0.24387	0	0.236581	0.245858	0.266402
DA68A	0.12061	0.128893	0.409543	0.414844	0.128562	0.139165	0.236581	0	0.141816	0.151756
DBA9A	0.14049	0.150099	0.399602	0.408217	0.13784	0.12326	0.245858	0.141816	0	0.131875
DE8BA	0.272366	0.144798	0.294235	0.297548	0.141153	0.150431	0.266402	0.151756	0.131875	0
