fid	sample_id	PC1	PC2	PC3	PC4	PC5	strain	vcf_sample	mapping_status
592BB	592BB	-0.0955458	-0.236625	0.0903292	-0.655615	-0.0653092	SHR/OlaIpcv	SHR_OlaIpcv	exact strain-name match
607	607	-0.0592561	-0.146581	0.144594	-0.00365684	0.3924	HXB10	HXB10_Ipcv	exact strain-name match
74AA	74AA	-0.430126	0.838269	-0.0229947	-0.106375	-0.0101905	F344/Stm	F344_StmMcwi	exact strain-name match
A2DB	A2DB	0.88596	0.320801	-0.012789	-0.107637	-0.0117677	LE/Stm	LE_StmMcwi	exact strain-name match
D765A	D765A	-0.0544887	-0.142621	0.154572	0.0395101	0.32746	BXH6	BXH6_Cub	exact strain-name match
DA08A	DA08A	-0.0615496	-0.159976	0.15342	-0.015947	-0.422734	HXB2	HXB2_Ipcv	exact strain-name match
DA21A	DA21A	-0.0588932	-0.168493	-0.929114	0.0581058	-5.60427e-4	SHR/OlaIpcvxBN/NHsdMcwi	SHR_BN_F1	confirmed sample-to-VCF mapping
DA68A	DA68A	-0.0611897	-0.151659	0.139232	-0.0666369	0.366363	HXB31	HXB31_Ipcv	exact strain-name match
DBA9A	DBA9A	-0.0584382	-0.139284	0.151347	0.138158	-0.645367	HXB23	HXB23_Ipcv	exact strain-name match
DE8BA	DE8BA	-0.00647224	-0.0138302	0.131402	0.720094	0.0697071	BN-Lx	BN-Lx_Cub	exact strain-name match
