panel_group	official_strain	gvcf_sample	is_study_background
classic	ACI/EurMcwi	ACI_EurMcwi_200534	FALSE
classic	BDIX/NemOdaMcwi	BDIX_NemOda_440	FALSE
classic	BN/NHsdMcwi	BN_NHsdMcwi_199632	FALSE
classic	BN-Lx/CubMcwi	BN_Lx_Cub_200538	TRUE
classic	BUF/MnaMcwi	BUF_Mna_441	FALSE
classic	DA/OlaHsd	DA_OlaHsd_201571	FALSE
classic	F344/DuCrl	F344_DuCrl_201577	FALSE
classic	F344/NCrl	F344_NCrl_199613	FALSE
classic	F344/StmMcwi	F344-stm	TRUE
classic	FHH/EurMcwi	FHH_EurMcwi_198627	FALSE
classic	GK/FarMcwi	GK_FarMcwi_199107	FALSE
classic	LE/StmMcwi	LE-stm	TRUE
classic	LEW/Crl	LEW_Crl_201570	FALSE
classic	LH/MavRrrcAek	LH_MavRrrc_593_GSPMC	FALSE
classic	LL/MavRrrcAek	LL_MavRrrc_594_GSPMC	FALSE
classic	LN/MavRrrcAek	LN_MavRrrc_595_GSPMC	FALSE
classic	M520/NRrrcMcwi	M520_NRrrcMcwi_NOV	FALSE
classic	MNS/Gib	ERR224459_MNS_Gib_TA.ILM	FALSE
classic	MR/NRrrc	MR_N_439	FALSE
classic	MWF/Hsd	MWF_Hsd_198844	FALSE
classic	PVG/SeacMcwi	PVG_Seac_1	FALSE
classic	RCS/LavRrrcMcwi	RCS_LavRrrc_673	FALSE
classic	SBH/Ygl	ERR224460_SBH_Ygl_TA.ILM	FALSE
classic	SBN/Ygl	ERR224461_SBN_Ygl_TA.ILM	FALSE
classic	SHR/OlaIpcvMcwi	SHR_Olalpcv_199265	TRUE
classic	SHRSP/A3NCrl	SHRSP_A3NCrl_201576	FALSE
classic	SR/JrHsd	SR_JrHsd_605_GSPMC	FALSE
classic	SS/JrHsdMcwi	SS_JrHsdMcwi_199478	FALSE
classic	WAG/RijCrl	WAG_RijCrl_604_GSPMC	FALSE
classic	WKY/NCrl	WKY_NCrl_201573	FALSE
HXB_BXH_RI	BXH10	BXH10_mRatNor1	FALSE
HXB_BXH_RI	BXH11	BXH11_mRatNor1	FALSE
HXB_BXH_RI	BXH12	BXH12_mRatNor1	FALSE
HXB_BXH_RI	BXH13	BXH13_mRatNor1	FALSE
HXB_BXH_RI	BXH2	BXH2_606_GSPMC	FALSE
HXB_BXH_RI	BXH3	BXH3_607_GSPMC	FALSE
HXB_BXH_RI	BXH5	BXH5_mRatNor1	FALSE
HXB_BXH_RI	BXH6	BXH6_Cub_678	TRUE
HXB_BXH_RI	BXH8	BXH8_mRatNor1	FALSE
HXB_BXH_RI	BXH9	BXH9_mRatNor1	FALSE
HXB_BXH_RI	HXB1	HXB1_mRatNor1	FALSE
HXB_BXH_RI	HXB10	HXB10_200103	TRUE
HXB_BXH_RI	HXB13	HXB13_mRatNor1	FALSE
HXB_BXH_RI	HXB15	HXB15_mRatNor1	FALSE
HXB_BXH_RI	HXB17	HXB17_Ipcv_674	FALSE
HXB_BXH_RI	HXB18	HXB18_Ipcv_675	FALSE
HXB_BXH_RI	HXB2	HXB2_198893	TRUE
HXB_BXH_RI	HXB20	HXB20_609_GSPMC	FALSE
HXB_BXH_RI	HXB21	HXB21_mRatNor1	FALSE
HXB_BXH_RI	HXB22	HXB22_mRatNor1	FALSE
