measurement_unit	variant_type	qual_threshold	maf_threshold	n_hrdp_panel_variants	n_study_background_variants	coverage_percent
allele	INDEL	30	0	6287856	3074417	48.894519849055065
allele	INDEL	30	0.1	2839685	2429636	85.5600533157727
allele	INDEL	30	0.2	1849758	1692757	91.5123491829742
allele	INDEL	40	0	4966426	2509356	50.526394634693034
allele	INDEL	40	0.1	2387681	2070025	86.69604524222457
allele	INDEL	40	0.2	1632298	1501921	92.01267170577921
allele	OTHER	30	0	220462	113063	51.28457511952173
allele	OTHER	30	0.1	124035	101204	81.59309872213488
allele	OTHER	30	0.2	88727	78701	88.70017018494934
allele	OTHER	40	0	153620	80400	52.33693529488348
allele	OTHER	40	0.1	87976	73319	83.33977448395017
allele	OTHER	40	0.2	64321	57829	89.90687333841203
allele	SNP	30	0	11220242	7012345	62.49727055797905
allele	SNP	30	0.1	7595017	6913762	91.03023732534108
allele	SNP	30	0.2	5722173	5362520	93.71474787637494
allele	SNP	40	0	10400583	6548392	62.96177820031819
allele	SNP	40	0.1	7102467	6490257	91.38031897930676
allele	SNP	40	0.2	5392047	5059532	93.8332325367342
site	INDEL	30	0	2813079	1882027	66.90274251096396
site	INDEL	30	0.1	1952961	1752026	89.71126407542188
site	INDEL	30	0.2	1474823	1367963	92.75438476345975
site	INDEL	40	0	2333025	1607199	68.88906034011637
site	INDEL	40	0.1	1691592	1533052	90.62776366878064
site	INDEL	40	0.2	1317399	1228061	93.21860727084201
site	OTHER	30	0	159801	85189	53.30942860182352
site	OTHER	30	0.1	93886	77200	82.22738214430267
site	OTHER	30	0.2	67839	60462	89.12572414098085
site	OTHER	40	0	115590	62393	53.97785275542867
site	OTHER	40	0.1	68557	57440	83.78429627900871
site	OTHER	40	0.2	50607	45664	90.23257652103464
site	SNP	30	0	11158207	6986375	62.611985957959014
site	SNP	30	0.1	7566911	6890890	91.06609024475112
site	SNP	30	0.2	5703970	5346269	93.72891161769785
site	SNP	40	0	10353780	6529122	63.060273639192644
site	SNP	40	0.1	7081289	6472841	91.40766603368398
site	SNP	40	0.2	5378071	5047016	93.84435423035508
