primary_promoter_window_width_bp	primary_minimum_ATAC_overlap_bp	sensitivity_promoter_window_width_bp	sensitivity_minimum_ATAC_overlap_bp	primary_1kb_revised_detailed_category	sensitivity_detailed_category	n_loops
2001	50	4001	50	no_direct_promoter_TSS	no_direct_promoter_TSS	13579
2001	50	4001	50	no_direct_promoter_TSS	promoter_at_both_anchors_with_directional_distal_ATAC	17
2001	50	4001	50	no_direct_promoter_TSS	promoter_at_both_anchors_without_directional_distal_ATAC	12
2001	50	4001	50	no_direct_promoter_TSS	single_promoter_distal_ATAC	881
2001	50	4001	50	no_direct_promoter_TSS	single_promoter_no_distal_ATAC	189
2001	50	4001	50	promoter_at_both_anchors_with_directional_distal_ATAC	promoter_at_both_anchors_with_directional_distal_ATAC	2745
2001	50	4001	50	promoter_at_both_anchors_with_directional_distal_ATAC	promoter_at_both_anchors_without_directional_distal_ATAC	162
2001	50	4001	50	promoter_at_both_anchors_without_directional_distal_ATAC	promoter_at_both_anchors_with_directional_distal_ATAC	149
2001	50	4001	50	promoter_at_both_anchors_without_directional_distal_ATAC	promoter_at_both_anchors_without_directional_distal_ATAC	992
2001	50	4001	50	single_promoter_distal_ATAC	promoter_at_both_anchors_with_directional_distal_ATAC	319
2001	50	4001	50	single_promoter_distal_ATAC	promoter_at_both_anchors_without_directional_distal_ATAC	67
2001	50	4001	50	single_promoter_distal_ATAC	single_promoter_distal_ATAC	10083
2001	50	4001	50	single_promoter_no_distal_ATAC	promoter_at_both_anchors_with_directional_distal_ATAC	16
2001	50	4001	50	single_promoter_no_distal_ATAC	promoter_at_both_anchors_without_directional_distal_ATAC	104
2001	50	4001	50	single_promoter_no_distal_ATAC	single_promoter_no_distal_ATAC	1706
