primary_promoter_window_width_bp	primary_minimum_ATAC_overlap_bp	sensitivity_promoter_window_width_bp	sensitivity_minimum_ATAC_overlap_bp	rank_by_putative_loop_count	gene_id	gene_symbol	n_gained_putative_loops	n_5kb_putative_loops	n_10kb_putative_loops	n_25kb_putative_loops
2001	50	4001	50	1	ENSRNOG00000012826	Creb3l2	7	2	0	5
2001	50	4001	50	2	ENSRNOG00000059765	Asic1	6	0	4	2
2001	50	4001	50	2	ENSRNOG00000056580	En1	6	1	3	2
2001	50	4001	50	2	ENSRNOG00000015822	Klf13	6	3	2	1
2001	50	4001	50	5	ENSRNOG00000050257	AABR07003273.1	5	3	2	0
2001	50	4001	50	5	ENSRNOG00000051261	AABR07021536.1	5	0	2	3
2001	50	4001	50	5	ENSRNOG00000053181	Aqp6	5	0	4	1
2001	50	4001	50	5	ENSRNOG00000070419	ENSRNOG00000070419	5	0	0	5
2001	50	4001	50	5	ENSRNOG00000007782	Ghrh	5	3	2	0
2001	50	4001	50	5	ENSRNOG00000004535	Kcng3	5	0	3	2
2001	50	4001	50	5	ENSRNOG00000010058	Spry2	5	0	1	4
2001	50	4001	50	5	ENSRNOG00000017922	Tpbgl	5	3	0	2
2001	50	4001	50	5	ENSRNOG00000025937	Zfp26	5	2	3	0
2001	50	4001	50	14	ENSRNOG00000063448	Aqp6	4	0	3	1
2001	50	4001	50	14	ENSRNOG00000070574	Atp5mpl	4	4	0	0
2001	50	4001	50	14	ENSRNOG00000012362	Cacng3	4	1	2	1
2001	50	4001	50	14	ENSRNOG00000013481	Cdh11	4	0	2	2
2001	50	4001	50	14	ENSRNOG00000030914	Cimap2	4	2	1	1
2001	50	4001	50	14	ENSRNOG00000062562	ENSRNOG00000062562	4	0	4	0
2001	50	4001	50	14	ENSRNOG00000062626	ENSRNOG00000062626	4	1	2	1
2001	50	4001	50	14	ENSRNOG00000068442	ENSRNOG00000068442	4	1	3	0
2001	50	4001	50	14	ENSRNOG00000013090	Gadd45g	4	2	2	0
2001	50	4001	50	14	ENSRNOG00000015210	Ggt6	4	2	2	0
2001	50	4001	50	14	ENSRNOG00000046981	Gp1bb	4	2	2	0
2001	50	4001	50	14	ENSRNOG00000061160	Htra4	4	0	3	1
2001	50	4001	50	14	ENSRNOG00000012735	Kif24	4	2	2	0
2001	50	4001	50	14	ENSRNOG00000064370	LOC103690545	4	1	0	3
2001	50	4001	50	14	ENSRNOG00000013742	Large1	4	0	1	3
2001	50	4001	50	14	ENSRNOG00000016879	Ldlrad4	4	2	1	1
2001	50	4001	50	14	ENSRNOG00000005409	Lrrc9	4	1	3	0
2001	50	4001	50	14	ENSRNOG00000048978	Nphp3	4	2	2	0
2001	50	4001	50	14	ENSRNOG00000004616	Npm1	4	0	2	2
2001	50	4001	50	14	ENSRNOG00000020644	Nsg2	4	0	4	0
2001	50	4001	50	14	ENSRNOG00000013110	Nudt2	4	2	2	0
2001	50	4001	50	14	ENSRNOG00000032659	Plcl1	4	0	2	2
2001	50	4001	50	14	ENSRNOG00000060687	Slc24a3	4	2	1	1
2001	50	4001	50	14	ENSRNOG00000006104	Tg	4	2	2	0
2001	50	4001	50	14	ENSRNOG00000015829	Trpm1	4	2	1	1
2001	50	4001	50	39	ENSRNOG00000058011	AABR07018244.2	3	1	2	0
2001	50	4001	50	39	ENSRNOG00000012655	Adamts6	3	0	3	0
2001	50	4001	50	39	ENSRNOG00000039300	Ahcyl2	3	0	3	0
2001	50	4001	50	39	ENSRNOG00000025065	Airim	3	1	1	1
2001	50	4001	50	39	ENSRNOG00000000576	Anapc16	3	1	2	0
2001	50	4001	50	39	ENSRNOG00000060949	Anxa8	3	0	0	3
2001	50	4001	50	39	ENSRNOG00000056647	Ascc1	3	1	2	0
2001	50	4001	50	39	ENSRNOG00000000384	Atoh7	3	1	2	0
2001	50	4001	50	39	ENSRNOG00000006170	Bach2	3	0	3	0
2001	50	4001	50	39	ENSRNOG00000031431	Cdca8	3	1	1	1
2001	50	4001	50	39	ENSRNOG00000022261	Cenpu	3	2	1	0
2001	50	4001	50	39	ENSRNOG00000028805	Cfap77	3	1	2	0
2001	50	4001	50	39	ENSRNOG00000023007	Col6a6	3	0	0	3
2001	50	4001	50	39	ENSRNOG00000068738	ENSRNOG00000068738	3	1	0	2
2001	50	4001	50	39	ENSRNOG00000069708	ENSRNOG00000069708	3	0	0	3
2001	50	4001	50	39	ENSRNOG00000029038	Gemin8	3	0	3	0
2001	50	4001	50	39	ENSRNOG00000023528	Hrasls5	3	1	1	1
2001	50	4001	50	39	ENSRNOG00000001193	Hsf2bp	3	0	3	0
2001	50	4001	50	39	ENSRNOG00000012286	Il20ra	3	0	0	3
2001	50	4001	50	39	ENSRNOG00000016538	Itga8	3	0	1	2
2001	50	4001	50	39	ENSRNOG00000008170	Jph2	3	1	2	0
2001	50	4001	50	39	ENSRNOG00000043426	Kyat3	3	2	1	0
2001	50	4001	50	39	ENSRNOG00000024616	LOC100362783	3	0	1	2
2001	50	4001	50	39	ENSRNOG00000035975	LOC120097639	3	1	2	0
2001	50	4001	50	39	ENSRNOG00000066256	LOC120098017	3	1	2	0
2001	50	4001	50	39	ENSRNOG00000052457	LOC120098053	3	1	2	0
2001	50	4001	50	39	ENSRNOG00000052892	LOC120101284	3	3	0	0
2001	50	4001	50	39	ENSRNOG00000058657	LOC120103256	3	0	0	3
2001	50	4001	50	39	ENSRNOG00000003614	Mgat5	3	0	0	3
2001	50	4001	50	39	ENSRNOG00000061510	Pom121l2	3	3	0	0
2001	50	4001	50	39	ENSRNOG00000012022	Pou2af2	3	0	2	1
2001	50	4001	50	39	ENSRNOG00000029865	Prss56	3	1	1	1
2001	50	4001	50	39	ENSRNOG00000008245	Ptgis	3	0	3	0
2001	50	4001	50	39	ENSRNOG00000048297	Qki	3	0	3	0
2001	50	4001	50	39	ENSRNOG00000024501	Rgs3	3	1	2	0
2001	50	4001	50	39	ENSRNOG00000014575	Rtca	3	0	0	3
2001	50	4001	50	39	ENSRNOG00000015049	Scn5a	3	2	1	0
2001	50	4001	50	39	ENSRNOG00000010358	Sh3rf1	3	0	0	3
2001	50	4001	50	39	ENSRNOG00000050805	Spacdr	3	0	1	2
2001	50	4001	50	39	ENSRNOG00000014079	Stat1	3	2	1	0
2001	50	4001	50	39	ENSRNOG00000010685	Tbx18	3	0	2	1
2001	50	4001	50	39	ENSRNOG00000046566	Tub	3	2	1	0
2001	50	4001	50	39	ENSRNOG00000004137	Ubtd2	3	1	1	1
2001	50	4001	50	39	ENSRNOG00000005447	Ypel2	3	3	0	0
2001	50	4001	50	83	ENSRNOG00000037485	2200002J24Rikl	2	0	0	2
2001	50	4001	50	83	ENSRNOG00000046333	AABR07007032.1	2	0	1	1
2001	50	4001	50	83	ENSRNOG00000055038	AABR07013302	2	0	1	1
2001	50	4001	50	83	ENSRNOG00000056222	AABR07021636.1	2	0	2	0
2001	50	4001	50	83	ENSRNOG00000033625	AABR07027015	2	2	0	0
2001	50	4001	50	83	ENSRNOG00000033603	AABR07034315.1	2	1	1	0
2001	50	4001	50	83	ENSRNOG00000033226	AABR07043557.1	2	2	0	0
2001	50	4001	50	83	ENSRNOG00000029837	AABR07056636	2	0	0	2
2001	50	4001	50	83	ENSRNOG00000029450	AABR07058422.1	2	0	1	1
2001	50	4001	50	83	ENSRNOG00000033748	AABR07060610.1	2	1	1	0
2001	50	4001	50	83	ENSRNOG00000058352	AABR07065699	2	0	1	1
2001	50	4001	50	83	ENSRNOG00000046836	AC133403.1	2	1	1	0
2001	50	4001	50	83	ENSRNOG00000046724	AC141526	2	0	0	2
2001	50	4001	50	83	ENSRNOG00000056837	Abr	2	1	0	1
2001	50	4001	50	83	ENSRNOG00000004342	Ahr	2	1	1	0
2001	50	4001	50	83	ENSRNOG00000020423	Apc	2	0	1	1
2001	50	4001	50	83	ENSRNOG00000007446	Apip	2	0	2	0
2001	50	4001	50	83	ENSRNOG00000013059	Aste1	2	0	0	2
2001	50	4001	50	83	ENSRNOG00000001714	Atp13a4	2	0	0	2
2001	50	4001	50	83	ENSRNOG00000007152	Bhlhe40	2	1	1	0
2001	50	4001	50	83	ENSRNOG00000005592	Brinp2	2	1	1	0
2001	50	4001	50	83	ENSRNOG00000002191	C14h4orf19	2	0	2	0
2001	50	4001	50	83	ENSRNOG00000001173	Cabp1	2	1	1	0
2001	50	4001	50	83	ENSRNOG00000054277	Capsl	2	0	1	1
