primary_promoter_window_width_bp	primary_minimum_ATAC_overlap_bp	sensitivity_promoter_window_width_bp	sensitivity_minimum_ATAC_overlap_bp	rank_by_putative_loop_count	gene_id	gene_symbol	n_lost_putative_loops	n_5kb_putative_loops	n_10kb_putative_loops	n_25kb_putative_loops
2001	50	4001	50	1	ENSRNOG00000008676	Emp1	3	2	1	0
2001	50	4001	50	1	ENSRNOG00000007092	Fgb	3	1	1	1
2001	50	4001	50	1	ENSRNOG00000006655	Plrg1	3	1	1	1
2001	50	4001	50	4	ENSRNOG00000056969	AABR07008911.1	2	0	1	1
2001	50	4001	50	4	ENSRNOG00000050841	Ache	2	0	1	1
2001	50	4001	50	4	ENSRNOG00000003029	Calr	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000059538	Clec2g	2	0	2	0
2001	50	4001	50	4	ENSRNOG00000017106	Csnk1a1	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000063313	Csnk1a1	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000020772	Dhx8	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000060107	Dnajb14	2	0	1	1
2001	50	4001	50	4	ENSRNOG00000039859	Dnmt1	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000066983	ENSRNOG00000066983	2	0	1	1
2001	50	4001	50	4	ENSRNOG00000042201	Efcab2	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000008907	Fggy	2	0	1	1
2001	50	4001	50	4	ENSRNOG00000010306	H2az2l3	2	0	1	1
2001	50	4001	50	4	ENSRNOG00000012552	Ints4	2	2	0	0
2001	50	4001	50	4	ENSRNOG00000010552	Lamtor3	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000013520	Mat2a	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000017904	Nol7	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000027646	Pop4	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000017954	Prelid3a	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000000258	Prmt7	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000015717	Ptpre	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000018748	Slc16a11	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000020049	Slc7a6os	2	1	1	0
2001	50	4001	50	4	ENSRNOG00000021007	Snx15	2	0	0	2
2001	50	4001	50	4	ENSRNOG00000005868	Ttc21b	2	0	2	0
2001	50	4001	50	4	ENSRNOG00000037421	Zfp951	2	0	1	1
2001	50	4001	50	30	ENSRNOG00000037360	AABR07003173.1	1	0	1	0
2001	50	4001	50	30	ENSRNOG00000053140	AABR07027866.1	1	0	0	1
2001	50	4001	50	30	ENSRNOG00000057390	AABR07030143.1	1	0	1	0
2001	50	4001	50	30	ENSRNOG00000033109	AC097037.1	1	0	1	0
2001	50	4001	50	30	ENSRNOG00000047508	AC112350.1	1	0	1	0
2001	50	4001	50	30	ENSRNOG00000056968	AC130862.2	1	0	1	0
2001	50	4001	50	30	ENSRNOG00000018345	Abce1	1	0	0	1
2001	50	4001	50	30	ENSRNOG00000001710	Abcf3	1	0	1	0
2001	50	4001	50	30	ENSRNOG00000018755	Acss2	1	1	0	0
2001	50	4001	50	30	ENSRNOG00000011189	Acy1	1	1	0	0
2001	50	4001	50	30	ENSRNOG00000047545	Adra2a	1	0	0	1
2001	50	4001	50	30	ENSRNOG00000039001	Agrp	1	1	0	0
