primary_1kb_revised_detailed_category	sensitivity_detailed_category	n_loops
no_direct_promoter_TSS	no_direct_promoter_TSS	13579
no_direct_promoter_TSS	promoter_at_both_anchors_with_directional_distal_ATAC	17
no_direct_promoter_TSS	promoter_at_both_anchors_without_directional_distal_ATAC	12
no_direct_promoter_TSS	single_promoter_distal_ATAC	881
no_direct_promoter_TSS	single_promoter_no_distal_ATAC	189
promoter_at_both_anchors_with_directional_distal_ATAC	promoter_at_both_anchors_with_directional_distal_ATAC	2745
promoter_at_both_anchors_with_directional_distal_ATAC	promoter_at_both_anchors_without_directional_distal_ATAC	162
promoter_at_both_anchors_without_directional_distal_ATAC	promoter_at_both_anchors_with_directional_distal_ATAC	149
promoter_at_both_anchors_without_directional_distal_ATAC	promoter_at_both_anchors_without_directional_distal_ATAC	992
single_promoter_distal_ATAC	promoter_at_both_anchors_with_directional_distal_ATAC	319
single_promoter_distal_ATAC	promoter_at_both_anchors_without_directional_distal_ATAC	67
single_promoter_distal_ATAC	single_promoter_distal_ATAC	10083
single_promoter_no_distal_ATAC	promoter_at_both_anchors_with_directional_distal_ATAC	16
single_promoter_no_distal_ATAC	promoter_at_both_anchors_without_directional_distal_ATAC	104
single_promoter_no_distal_ATAC	single_promoter_no_distal_ATAC	1706
