gene_id	gene_symbol	gene_membership_change	primary_1kb_rank	sensitivity_rank	rank_change	primary_1kb_n_putative_loops	sensitivity_n_putative_loops	difference_n_putative_loops	primary_1kb_n_5kb_putative_loops	sensitivity_n_5kb_putative_loops	difference_n_5kb_putative_loops	primary_1kb_n_10kb_putative_loops	sensitivity_n_10kb_putative_loops	difference_n_10kb_putative_loops	primary_1kb_n_25kb_putative_loops	sensitivity_n_25kb_putative_loops	difference_n_25kb_putative_loops
ENSRNOG00000013515	Ptpru	unchanged_loop_count	1	1	0	17	17	0	4	4	0	5	5	0	8	8	0
ENSRNOG00000047891	Foxg1	unchanged_loop_count	2	2	0	15	15	0	1	1	0	7	7	0	7	7	0
ENSRNOG00000062864	Mir9-2hg	increased_loop_count	25	2	23	10	15	5	3	4	1	6	10	4	1	1	0
ENSRNOG00000001030	Tsc22d1	unchanged_loop_count	3	4	-1	14	14	0	3	3	0	5	5	0	6	6	0
ENSRNOG00000064216	ENSRNOG00000064216	unchanged_loop_count	4	5	-1	13	13	0	2	2	0	6	6	0	5	5	0
ENSRNOG00000050108	LOC100911319	unchanged_loop_count	4	5	-1	13	13	0	2	2	0	6	6	0	5	5	0
ENSRNOG00000015750	Wnt7b	unchanged_loop_count	4	5	-1	13	13	0	5	5	0	3	3	0	5	5	0
ENSRNOG00000005067	Zfp36l2	unchanged_loop_count	4	5	-1	13	13	0	2	2	0	6	6	0	5	5	0
ENSRNOG00000001607	Adamts1	unchanged_loop_count	8	9	-1	12	12	0	1	1	0	6	6	0	5	5	0
ENSRNOG00000001843	Bcl6	unchanged_loop_count	8	9	-1	12	12	0	4	4	0	5	5	0	3	3	0
ENSRNOG00000000596	Fyn	unchanged_loop_count	8	9	-1	12	12	0	2	2	0	6	6	0	4	4	0
ENSRNOG00000049560	Glul	unchanged_loop_count	8	9	-1	12	12	0	5	5	0	4	4	0	3	3	0
ENSRNOG00000069169	Gm37419	unchanged_loop_count	8	9	-1	12	12	0	4	4	0	5	5	0	3	3	0
ENSRNOG00000002244	Pdgfra	unchanged_loop_count	8	9	-1	12	12	0	0	0	0	4	4	0	8	8	0
ENSRNOG00000024501	Rgs3	increased_loop_count	42	9	33	9	12	3	4	5	1	2	4	2	3	3	0
ENSRNOG00000002977	Ttc19	unchanged_loop_count	8	9	-1	12	12	0	5	5	0	3	3	0	4	4	0
ENSRNOG00000002970	Zswim7	unchanged_loop_count	8	9	-1	12	12	0	5	5	0	3	3	0	4	4	0
ENSRNOG00000007946	Bcl2l1	unchanged_loop_count	17	18	-1	11	11	0	6	6	0	4	4	0	1	1	0
ENSRNOG00000007989	Chst1	unchanged_loop_count	17	18	-1	11	11	0	1	1	0	6	6	0	4	4	0
ENSRNOG00000015076	Cyp26b1	increased_loop_count	42	18	24	9	11	2	0	1	1	4	5	1	5	5	0
ENSRNOG00000068158	ENSRNOG00000068158	unchanged_loop_count	17	18	-1	11	11	0	4	4	0	5	5	0	2	2	0
ENSRNOG00000068358	ENSRNOG00000068358	unchanged_loop_count	17	18	-1	11	11	0	6	6	0	4	4	0	1	1	0
ENSRNOG00000011448	Eri1	unchanged_loop_count	17	18	-1	11	11	0	0	0	0	2	2	0	9	9	0
ENSRNOG00000001728	Fam43a	unchanged_loop_count	17	18	-1	11	11	0	3	3	0	4	4	0	4	4	0
ENSRNOG00000013397	Foxo1	unchanged_loop_count	17	18	-1	11	11	0	0	0	0	1	1	0	10	10	0
ENSRNOG00000001720	Hes1	increased_loop_count	127	18	109	7	11	4	2	4	2	3	5	2	2	2	0
ENSRNOG00000011015	Hivep2	unchanged_loop_count	17	18	-1	11	11	0	1	1	0	3	3	0	7	7	0
ENSRNOG00000014187	Igf1r	increased_loop_count	25	18	7	10	11	1	2	2	0	3	3	0	5	6	1
ENSRNOG00000016879	Ldlrad4	increased_loop_count	127	18	109	7	11	4	1	3	2	4	5	1	2	3	1
ENSRNOG00000002154	Mepe	decreased_loop_count	8	18	-10	12	11	-1	6	5	-1	2	2	0	4	4	0
ENSRNOG00000048978	Nphp3	increased_loop_count	447	18	429	5	11	6	0	2	2	0	4	4	5	5	0
ENSRNOG00000004978	Prkacb	increased_loop_count	80	18	62	8	11	3	0	0	0	4	5	1	4	6	2
ENSRNOG00000010971	Snx18	increased_loop_count	42	18	24	9	11	2	3	3	0	4	6	2	2	2	0
ENSRNOG00000012405	Tcf4	increased_loop_count	42	18	24	9	11	2	1	2	1	6	7	1	2	2	0
ENSRNOG00000012148	Trio	increased_loop_count	25	18	7	10	11	1	1	1	0	3	3	0	6	7	1
ENSRNOG00000033748	AABR07060610.1	increased_loop_count	447	36	411	5	10	5	1	2	1	2	3	1	2	5	3
ENSRNOG00000069663	Arl4c	unchanged_loop_count	25	36	-11	10	10	0	4	4	0	4	4	0	2	2	0
ENSRNOG00000018286	Chrna1	unchanged_loop_count	25	36	-11	10	10	0	1	1	0	5	5	0	4	4	0
ENSRNOG00000001377	Ddx54	unchanged_loop_count	25	36	-11	10	10	0	0	0	0	7	7	0	3	3	0
ENSRNOG00000069269	ENSRNOG00000069269	unchanged_loop_count	25	36	-11	10	10	0	5	5	0	3	3	0	2	2	0
ENSRNOG00000005347	Fjx1	increased_loop_count	42	36	6	9	10	1	2	2	0	3	3	0	4	5	1
ENSRNOG00000011882	Gab2	unchanged_loop_count	25	36	-11	10	10	0	3	3	0	3	3	0	4	4	0
ENSRNOG00000036603	Ifit1bl	unchanged_loop_count	25	36	-11	10	10	0	2	2	0	4	4	0	4	4	0
ENSRNOG00000005206	Kcnq3	unchanged_loop_count	25	36	-11	10	10	0	0	0	0	5	5	0	5	5	0
ENSRNOG00000015822	Klf13	increased_loop_count	831	36	795	4	10	6	0	3	3	2	4	2	2	3	1
ENSRNOG00000053627	LOC120097977	increased_loop_count	42	36	6	9	10	1	2	3	1	0	0	0	7	7	0
ENSRNOG00000052892	LOC120101284	increased_loop_count	127	36	91	7	10	3	0	3	3	3	3	0	4	4	0
ENSRNOG00000023643	Mmp17	unchanged_loop_count	25	36	-11	10	10	0	2	2	0	3	3	0	5	5	0
ENSRNOG00000051372	Mycn	increased_loop_count	42	36	6	9	10	1	4	4	0	4	4	0	1	2	1
ENSRNOG00000010392	Nrg1	unchanged_loop_count	25	36	-11	10	10	0	1	1	0	4	4	0	5	5	0
ENSRNOG00000009862	Olfm1	increased_loop_count	42	36	6	9	10	1	4	5	1	3	3	0	2	2	0
ENSRNOG00000000274	Phyhipl	unchanged_loop_count	25	36	-11	10	10	0	2	2	0	3	3	0	5	5	0
ENSRNOG00000011951	Plk2	unchanged_loop_count	25	36	-11	10	10	0	4	4	0	4	4	0	2	2	0
ENSRNOG00000010058	Spry2	increased_loop_count	831	36	795	4	10	6	0	0	0	2	3	1	2	7	5
ENSRNOG00000010911	Tmem108	unchanged_loop_count	25	36	-11	10	10	0	1	1	0	5	5	0	4	4	0
ENSRNOG00000004110	Trib2	unchanged_loop_count	25	36	-11	10	10	0	1	1	0	5	5	0	4	4	0
ENSRNOG00000018381	AABR07027567	increased_loop_count	127	57	70	7	9	2	1	1	0	2	2	0	4	6	2
ENSRNOG00000002789	AABR07039648.1	unchanged_loop_count	42	57	-15	9	9	0	2	2	0	3	3	0	4	4	0
ENSRNOG00000031034	AABR07053734	increased_loop_count	127	57	70	7	9	2	1	1	0	4	6	2	2	2	0
ENSRNOG00000019549	Akap12	unchanged_loop_count	42	57	-15	9	9	0	2	2	0	4	4	0	3	3	0
ENSRNOG00000019697	Ankrd28	unchanged_loop_count	42	57	-15	9	9	0	2	2	0	3	3	0	4	4	0
ENSRNOG00000006997	App	unchanged_loop_count	42	57	-15	9	9	0	1	1	0	3	3	0	5	5	0
ENSRNOG00000059765	Asic1	increased_loop_count	1472	57	1415	3	9	6	2	2	0	0	4	4	1	3	2
ENSRNOG00000067693	Bcl2	increased_loop_count	80	57	23	8	9	1	0	1	1	5	5	0	3	3	0
ENSRNOG00000002141	Cd200	unchanged_loop_count	42	57	-15	9	9	0	3	3	0	3	3	0	3	3	0
ENSRNOG00000012442	Cemip	unchanged_loop_count	42	57	-15	9	9	0	2	2	0	4	4	0	3	3	0
ENSRNOG00000063415	ENSRNOG00000063415	unchanged_loop_count	42	57	-15	9	9	0	1	1	0	2	2	0	6	6	0
ENSRNOG00000065455	ENSRNOG00000065455	increased_loop_count	243	57	186	6	9	3	2	4	2	2	3	1	2	2	0
ENSRNOG00000065835	ENSRNOG00000065835	unchanged_loop_count	42	57	-15	9	9	0	5	5	0	2	2	0	2	2	0
ENSRNOG00000069517	ENSRNOG00000069517	unchanged_loop_count	42	57	-15	9	9	0	2	2	0	5	5	0	2	2	0
ENSRNOG00000000640	Egr2	unchanged_loop_count	42	57	-15	9	9	0	1	1	0	4	4	0	4	4	0
ENSRNOG00000005228	Gnptab	unchanged_loop_count	42	57	-15	9	9	0	4	4	0	3	3	0	2	2	0
ENSRNOG00000063552	Hist1h4b	increased_loop_count	831	57	774	4	9	5	1	2	1	2	3	1	1	4	3
ENSRNOG00000059005	Kcnj1	increased_loop_count	127	57	70	7	9	2	0	1	1	2	2	0	5	6	1
ENSRNOG00000066973	Kctd12	unchanged_loop_count	42	57	-15	9	9	0	0	0	0	2	2	0	7	7	0
ENSRNOG00000048297	LOC108348175	increased_loop_count	243	57	186	6	9	3	0	0	0	1	4	3	5	5	0
ENSRNOG00000048143	Mir3573	unchanged_loop_count	42	57	-15	9	9	0	3	3	0	4	4	0	2	2	0
ENSRNOG00000013408	Npas2	unchanged_loop_count	42	57	-15	9	9	0	0	0	0	5	5	0	4	4	0
ENSRNOG00000008943	Penk	unchanged_loop_count	42	57	-15	9	9	0	0	0	0	6	6	0	3	3	0
ENSRNOG00000018903	Pik3r1	unchanged_loop_count	42	57	-15	9	9	0	0	0	0	3	3	0	6	6	0
ENSRNOG00000004810	Plcb1	unchanged_loop_count	42	57	-15	9	9	0	1	1	0	5	5	0	3	3	0
ENSRNOG00000032659	Plcl1	increased_loop_count	447	57	390	5	9	4	0	0	0	4	6	2	1	3	2
ENSRNOG00000013072	Plxna4	increased_loop_count	80	57	23	8	9	1	0	0	0	2	2	0	6	7	1
ENSRNOG00000016980	Qprt	increased_loop_count	447	57	390	5	9	4	0	1	1	1	3	2	4	5	1
ENSRNOG00000004736	Ralgps2	unchanged_loop_count	42	57	-15	9	9	0	1	1	0	3	3	0	5	5	0
ENSRNOG00000019046	Reg4	increased_loop_count	80	57	23	8	9	1	4	5	1	2	2	0	2	2	0
ENSRNOG00000010131	Rin2	increased_loop_count	127	57	70	7	9	2	3	3	0	3	3	0	1	3	2
ENSRNOG00000033913	Rps12l3	increased_loop_count	447	57	390	5	9	4	0	1	1	3	6	3	2	2	0
ENSRNOG00000011815	Sgk1	unchanged_loop_count	42	57	-15	9	9	0	1	1	0	3	3	0	5	5	0
ENSRNOG00000060687	Slc24a3	increased_loop_count	447	57	390	5	9	4	0	2	2	3	4	1	2	3	1
ENSRNOG00000014079	Stat1	increased_loop_count	243	57	186	6	9	3	2	4	2	1	2	1	3	3	0
ENSRNOG00000002418	Tgfb2	decreased_loop_count	25	57	-32	10	9	-1	1	0	-1	3	3	0	6	6	0
ENSRNOG00000016973	Tmem242	unchanged_loop_count	42	57	-15	9	9	0	1	1	0	4	4	0	4	4	0
ENSRNOG00000005447	Ypel2	increased_loop_count	447	57	390	5	9	4	0	3	3	3	4	1	2	2	0
ENSRNOG00000056214	AABR07022098.1	unchanged_loop_count	80	95	-15	8	8	0	0	0	0	4	4	0	4	4	0
ENSRNOG00000017585	Abt1	unchanged_loop_count	80	95	-15	8	8	0	0	0	0	1	1	0	7	7	0
ENSRNOG00000019622	Ackr3	unchanged_loop_count	80	95	-15	8	8	0	1	1	0	3	3	0	4	4	0
ENSRNOG00000032150	Adcy2	unchanged_loop_count	80	95	-15	8	8	0	0	0	0	2	2	0	6	6	0
ENSRNOG00000019476	Agap1	unchanged_loop_count	80	95	-15	8	8	0	2	2	0	5	5	0	1	1	0
ENSRNOG00000042855	Ahdc1	increased_loop_count	127	95	32	7	8	1	3	4	1	2	2	0	2	2	0
ENSRNOG00000053181	Aqp6	increased_loop_count	2598	95	2503	2	8	6	1	1	0	0	4	4	1	3	2
ENSRNOG00000000635	Arid5b	increased_loop_count	127	95	32	7	8	1	1	1	0	2	2	0	4	5	1
ENSRNOG00000002462	B9d1	increased_loop_count	127	95	32	7	8	1	3	4	1	2	2	0	2	2	0
ENSRNOG00000016066	Bambi	unchanged_loop_count	80	95	-15	8	8	0	1	1	0	2	2	0	5	5	0
ENSRNOG00000002863	Cacna1e	unchanged_loop_count	80	95	-15	8	8	0	2	2	0	3	3	0	3	3	0
