rank_by_putative_loop_count	gene_id	gene_symbol	n_putative_loops	n_5kb_putative_loops	n_10kb_putative_loops	n_25kb_putative_loops
1	ENSRNOG00000013515	Ptpru	17	4	5	8
2	ENSRNOG00000047891	Foxg1	15	1	7	7
2	ENSRNOG00000062864	Mir9-2hg	15	4	10	1
4	ENSRNOG00000001030	Tsc22d1	14	3	5	6
5	ENSRNOG00000064216	ENSRNOG00000064216	13	2	6	5
5	ENSRNOG00000050108	LOC100911319	13	2	6	5
5	ENSRNOG00000015750	Wnt7b	13	5	3	5
5	ENSRNOG00000005067	Zfp36l2	13	2	6	5
9	ENSRNOG00000001607	Adamts1	12	1	6	5
9	ENSRNOG00000001843	Bcl6	12	4	5	3
9	ENSRNOG00000000596	Fyn	12	2	6	4
9	ENSRNOG00000049560	Glul	12	5	4	3
9	ENSRNOG00000069169	Gm37419	12	4	5	3
9	ENSRNOG00000002244	Pdgfra	12	0	4	8
9	ENSRNOG00000024501	Rgs3	12	5	4	3
9	ENSRNOG00000002977	Ttc19	12	5	3	4
9	ENSRNOG00000002970	Zswim7	12	5	3	4
18	ENSRNOG00000007946	Bcl2l1	11	6	4	1
18	ENSRNOG00000007989	Chst1	11	1	6	4
18	ENSRNOG00000015076	Cyp26b1	11	1	5	5
18	ENSRNOG00000068158	ENSRNOG00000068158	11	4	5	2
18	ENSRNOG00000068358	ENSRNOG00000068358	11	6	4	1
18	ENSRNOG00000011448	Eri1	11	0	2	9
18	ENSRNOG00000001728	Fam43a	11	3	4	4
18	ENSRNOG00000013397	Foxo1	11	0	1	10
18	ENSRNOG00000001720	Hes1	11	4	5	2
18	ENSRNOG00000011015	Hivep2	11	1	3	7
18	ENSRNOG00000014187	Igf1r	11	2	3	6
18	ENSRNOG00000016879	Ldlrad4	11	3	5	3
18	ENSRNOG00000002154	Mepe	11	5	2	4
18	ENSRNOG00000048978	Nphp3	11	2	4	5
18	ENSRNOG00000004978	Prkacb	11	0	5	6
18	ENSRNOG00000010971	Snx18	11	3	6	2
18	ENSRNOG00000012405	Tcf4	11	2	7	2
18	ENSRNOG00000012148	Trio	11	1	3	7
36	ENSRNOG00000033748	AABR07060610.1	10	2	3	5
36	ENSRNOG00000069663	Arl4c	10	4	4	2
36	ENSRNOG00000018286	Chrna1	10	1	5	4
36	ENSRNOG00000001377	Ddx54	10	0	7	3
36	ENSRNOG00000069269	ENSRNOG00000069269	10	5	3	2
36	ENSRNOG00000005347	Fjx1	10	2	3	5
36	ENSRNOG00000011882	Gab2	10	3	3	4
36	ENSRNOG00000036603	Ifit1bl	10	2	4	4
36	ENSRNOG00000005206	Kcnq3	10	0	5	5
36	ENSRNOG00000015822	Klf13	10	3	4	3
36	ENSRNOG00000053627	LOC120097977	10	3	0	7
36	ENSRNOG00000052892	LOC120101284	10	3	3	4
36	ENSRNOG00000023643	Mmp17	10	2	3	5
36	ENSRNOG00000051372	Mycn	10	4	4	2
36	ENSRNOG00000010392	Nrg1	10	1	4	5
36	ENSRNOG00000009862	Olfm1	10	5	3	2
36	ENSRNOG00000000274	Phyhipl	10	2	3	5
36	ENSRNOG00000011951	Plk2	10	4	4	2
36	ENSRNOG00000010058	Spry2	10	0	3	7
36	ENSRNOG00000010911	Tmem108	10	1	5	4
36	ENSRNOG00000004110	Trib2	10	1	5	4
57	ENSRNOG00000018381	AABR07027567	9	1	2	6
57	ENSRNOG00000002789	AABR07039648.1	9	2	3	4
57	ENSRNOG00000031034	AABR07053734	9	1	6	2
57	ENSRNOG00000019549	Akap12	9	2	4	3
57	ENSRNOG00000019697	Ankrd28	9	2	3	4
