chromosome	measurement_unit	variant_type	qual_threshold	maf_threshold	n_hrdp_panel_variants	n_study_background_variants	coverage_percent
chr1	site	SNP	30	0	1186477	731952	61.69120851057374
chr1	site	SNP	30	0.1	767679	721671	94.00687005896997
chr1	site	SNP	30	0.2	603784	590966	97.87705537079485
chr1	site	SNP	40	0	1092364	678092	62.07564511463212
chr1	site	SNP	40	0.1	712832	672971	94.40807932303825
chr1	site	SNP	40	0.2	568210	557210	98.06409602083737
chr1	site	INDEL	30	0	291216	192980	66.2669633536619
chr1	site	INDEL	30	0.1	195476	179624	91.89056457058668
chr1	site	INDEL	30	0.2	149553	144270	96.46747306974785
chr1	site	INDEL	40	0	240596	164144	68.22391062195548
chr1	site	INDEL	40	0.1	168545	156577	92.89922572606723
chr1	site	INDEL	40	0.2	133918	129935	97.0257919025075
chr1	site	OTHER	30	0	16749	8902	53.14944175771688
chr1	site	OTHER	30	0.1	9451	8051	85.1867527245794
chr1	site	OTHER	30	0.2	6927	6428	92.7963043164429
chr1	site	OTHER	40	0	12119	6511	53.72555491377177
chr1	site	OTHER	40	0.1	6903	5999	86.90424453136318
chr1	site	OTHER	40	0.2	5217	4903	93.981215257811
chr1	allele	SNP	30	0	1193043	734627	61.57590296410104
chr1	allele	SNP	30	0.1	770408	723996	93.97565965047092
chr1	allele	SNP	30	0.2	605575	592654	97.86632539322132
chr1	allele	SNP	40	0	1097297	680013	61.97164486916487
chr1	allele	SNP	40	0.1	714830	674688	94.38439908789502
chr1	allele	SNP	40	0.2	569552	558481	98.05619153299435
chr1	allele	INDEL	30	0	656786	318039	48.423535215427854
chr1	allele	INDEL	30	0.1	285153	251712	88.2726115453809
chr1	allele	INDEL	30	0.2	186914	178572	95.53698492354773
chr1	allele	INDEL	40	0	516882	258763	50.06229661702284
chr1	allele	INDEL	40	0.1	238573	213694	89.57174533580917
chr1	allele	INDEL	40	0.2	165499	159125	96.1486172121886
chr1	allele	OTHER	30	0	23134	11830	51.13685484568168
chr1	allele	OTHER	30	0.1	12538	10585	84.42335300685914
chr1	allele	OTHER	30	0.2	9067	8369	92.30175361199956
chr1	allele	OTHER	40	0	16089	8404	52.234445894710674
chr1	allele	OTHER	40	0.1	8886	7670	86.31555255458024
chr1	allele	OTHER	40	0.2	6627	6199	93.54157235551531
chr2	site	SNP	30	0	1262400	783149	62.03651774397972
chr2	site	SNP	30	0.1	885808	769512	86.87119556382422
chr2	site	SNP	30	0.2	656973	578339	88.03086275996121
chr2	site	SNP	40	0	1164140	725638	62.33253732368959
chr2	site	SNP	40	0.1	822463	715781	87.02896057330238
chr2	site	SNP	40	0.2	612380	538334	87.90848819360528
chr2	site	INDEL	30	0	288475	192253	66.64459658549268
chr2	site	INDEL	30	0.1	207632	179448	86.42598443399861
chr2	site	INDEL	30	0.2	158773	138992	87.54133259433279
chr2	site	INDEL	40	0	243190	166337	68.3979604424524
chr2	site	INDEL	40	0.1	182160	158672	87.10584101888449
chr2	site	INDEL	40	0.2	142659	125302	87.83322468263482
chr2	site	OTHER	30	0	16785	8784	52.33243967828418
chr2	site	OTHER	30	0.1	10314	8049	78.03955788248982
chr2	site	OTHER	30	0.2	7622	6421	84.2429808449226
chr2	site	OTHER	40	0	12429	6589	53.01311449030493
chr2	site	OTHER	40	0.1	7711	6126	79.44494877447802
chr2	site	OTHER	40	0.2	5798	4947	85.32252500862366
chr2	allele	SNP	30	0	1269960	785981	61.89021701470912
chr2	allele	SNP	30	0.1	889193	772042	86.82501999003591
chr2	allele	SNP	30	0.2	659205	580145	88.00676572538133
chr2	allele	SNP	40	0	1169928	727784	62.207588843074106
chr2	allele	SNP	40	0.1	825090	717738	86.98905573937388
chr2	allele	SNP	40	0.2	614156	539751	87.88499990230495
chr2	allele	INDEL	30	0	627573	304231	48.47738828789639
chr2	allele	INDEL	30	0.1	298465	242440	81.22895481882298
chr2	allele	INDEL	30	0.2	198864	170042	85.50667793064606
chr2	allele	INDEL	40	0	506340	253063	49.97886795433898
chr2	allele	INDEL	40	0.1	255696	209845	82.06815906388837
chr2	allele	INDEL	40	0.2	177235	152033	85.78046096989873
chr2	allele	OTHER	30	0	22880	11471	50.13548951048951
chr2	allele	OTHER	30	0.1	13421	10376	77.3116757320617
chr2	allele	OTHER	30	0.2	9788	8187	83.64323661626482
chr2	allele	OTHER	40	0	16271	8308	51.060168397762894
chr2	allele	OTHER	40	0.1	9693	7640	78.81976684205097
chr2	allele	OTHER	40	0.2	7184	6082	84.66035634743875
chr3	site	SNP	30	0	713270	482405	67.63287394675228
chr3	site	SNP	30	0.1	494939	474448	95.85989384550419
chr3	site	SNP	30	0.2	363035	360059	99.18024432905918
chr3	site	SNP	40	0	662288	449339	67.84646558596864
chr3	site	SNP	40	0.1	462640	444688	96.11966107556631
chr3	site	SNP	40	0.2	341653	339467	99.36016952873237
chr3	site	INDEL	30	0	186272	131686	70.69554200309226
chr3	site	INDEL	30	0.1	131657	123187	93.5666162832208
chr3	site	INDEL	30	0.2	97828	95062	97.17258862493355
chr3	site	INDEL	40	0	154819	112870	72.9044884671778
chr3	site	INDEL	40	0.1	114381	108174	94.57339942822672
chr3	site	INDEL	40	0.2	87405	85441	97.75298895944168
chr3	site	OTHER	30	0	10470	5933	56.666666666666664
chr3	site	OTHER	30	0.1	6203	5392	86.92568112203773
chr3	site	OTHER	30	0.2	4432	4170	94.0884476534296
chr3	site	OTHER	40	0	7556	4344	57.49073583906829
chr3	site	OTHER	40	0.1	4507	4021	89.21677390725539
chr3	site	OTHER	40	0.2	3263	3127	95.83205638982531
chr3	allele	SNP	30	0	716980	484122	67.52238556166141
chr3	allele	SNP	30	0.1	496592	475936	95.84044849695525
chr3	allele	SNP	30	0.2	364088	361080	99.1738261079739
chr3	allele	SNP	40	0	665079	450594	67.75044769117653
chr3	allele	SNP	40	0.1	463871	445811	96.10667620954963
chr3	allele	SNP	40	0.2	342437	340236	99.35725403504878
chr3	allele	INDEL	30	0	422520	217638	51.50951434251633
chr3	allele	INDEL	30	0.1	192881	173127	89.75845210259175
chr3	allele	INDEL	30	0.2	123037	118365	96.20276827295854
chr3	allele	INDEL	40	0	334846	178578	53.33138218763252
chr3	allele	INDEL	40	0.1	162725	148197	91.07205407896758
chr3	allele	INDEL	40	0.2	108521	105157	96.9001391435759
chr3	allele	OTHER	30	0	14420	7853	54.45908460471567
chr3	allele	OTHER	30	0.1	8190	7043	85.995115995116
chr3	allele	OTHER	30	0.2	5792	5409	93.38743093922652
chr3	allele	OTHER	40	0	10020	5567	55.55888223552894
chr3	allele	OTHER	40	0.1	5784	5111	88.36445366528353
chr3	allele	OTHER	40	0.2	4146	3944	95.12783405692234
chr4	site	SNP	30	0	862516	550137	63.78281678252925
chr4	site	SNP	30	0.1	597288	541086	90.59046891951621
chr4	site	SNP	30	0.2	451149	419115	92.89946337019477
chr4	site	SNP	40	0	782545	505881	64.6456114344862
chr4	site	SNP	40	0.1	549114	500880	91.2160316437024
chr4	site	SNP	40	0.2	421220	391695	92.99059873700205
chr4	site	INDEL	30	0	200833	136789	68.11081844119244
chr4	site	INDEL	30	0.1	142650	127926	89.6782334384858
chr4	site	INDEL	30	0.2	108509	100127	92.27529513680892
chr4	site	INDEL	40	0	165586	116189	70.16837172224704
chr4	site	INDEL	40	0.1	122763	111207	90.58674030448914
chr4	site	INDEL	40	0.2	96581	89446	92.61241859164846
chr4	site	OTHER	30	0	11114	6045	54.390858376822024
chr4	site	OTHER	30	0.1	6756	5468	80.93546477205447
chr4	site	OTHER	30	0.2	4858	4273	87.95800741045697
chr4	site	OTHER	40	0	7948	4388	55.20885757423251
chr4	site	OTHER	40	0.1	4916	4042	82.22131814483319
chr4	site	OTHER	40	0.2	3633	3222	88.68703550784475
chr4	allele	SNP	30	0	868025	552426	63.64171538838167
chr4	allele	SNP	30	0.1	599725	543050	90.54983534119805
chr4	allele	SNP	30	0.2	452629	420444	92.88931995077647
chr4	allele	SNP	40	0	786557	507579	64.53175040079739
chr4	allele	SNP	40	0.1	550927	502380	91.18812474247949
chr4	allele	SNP	40	0.2	422358	392726	92.984150886215
chr4	allele	INDEL	30	0	439097	219160	49.91152296645161
chr4	allele	INDEL	30	0.1	205210	175172	85.36231177817845
chr4	allele	INDEL	30	0.2	136384	124067	90.96888198029094
chr4	allele	INDEL	40	0	344081	177766	51.66399772146675
chr4	allele	INDEL	40	0.1	171513	148412	86.53105012448036
chr4	allele	INDEL	40	0.2	120067	109675	91.3448324685384
chr4	allele	OTHER	30	0	15288	8020	52.45944531658817
chr4	allele	OTHER	30	0.1	8893	7181	80.74890363207017
chr4	allele	OTHER	30	0.2	6339	5574	87.93185044959773
chr4	allele	OTHER	40	0	10538	5666	53.76731827671285
chr4	allele	OTHER	40	0.1	6273	5170	82.41670652000637
chr4	allele	OTHER	40	0.2	4614	4100	88.85999133073256
chr5	site	SNP	30	0	753573	520692	69.09642463304816
chr5	site	SNP	30	0.1	572654	516408	90.17801325058413
chr5	site	SNP	30	0.2	421714	394151	93.46405383743485
chr5	site	SNP	40	0	701575	490792	69.95574243666037
chr5	site	SNP	40	0.1	539210	488634	90.62035199643924
chr5	site	SNP	40	0.2	398979	373717	93.66833843385241
chr5	site	INDEL	30	0	189617	136078	71.76466245115154
chr5	site	INDEL	30	0.1	143512	128078	89.24549863426056
chr5	site	INDEL	30	0.2	109464	100824	92.10699408024556
chr5	site	INDEL	40	0	157950	117349	74.29503007280785
chr5	site	INDEL	40	0.1	125135	113044	90.33763535381787
chr5	site	INDEL	40	0.2	98002	90949	92.80320809779393
chr5	site	OTHER	30	0	10896	6261	57.46145374449339
chr5	site	OTHER	30	0.1	7082	5759	81.31883648686812
chr5	site	OTHER	30	0.2	5360	4700	87.68656716417911
chr5	site	OTHER	40	0	7791	4577	58.747272493903225
chr5	site	OTHER	40	0.1	5146	4267	82.91877186164011
chr5	site	OTHER	40	0.2	3984	3542	88.90562248995984
chr5	allele	SNP	30	0	757749	522597	68.9670326189807
chr5	allele	SNP	30	0.1	574817	518121	90.1366869803781
chr5	allele	SNP	30	0.2	423180	395455	93.44841438631315
chr5	allele	SNP	40	0	704749	492256	69.84841411623145
chr5	allele	SNP	40	0.1	540902	489986	90.58683458371387
chr5	allele	SNP	40	0.2	400143	374756	93.65551815226057
chr5	allele	INDEL	30	0	424549	221757	52.2335466577474
chr5	allele	INDEL	30	0.1	210841	178027	84.43661337216196
chr5	allele	INDEL	30	0.2	139823	126347	90.36210065582915
chr5	allele	INDEL	40	0	336250	183017	54.428847583643126
chr5	allele	INDEL	40	0.1	178582	153240	85.80932008825077
chr5	allele	INDEL	40	0.2	123842	112865	91.13628655867961
chr5	allele	OTHER	30	0	14875	8167	54.904201680672266
chr5	allele	OTHER	30	0.1	9203	7433	80.76714114962512
chr5	allele	OTHER	30	0.2	6868	6007	87.46359930110658
chr5	allele	OTHER	40	0	10353	5851	56.51501980102386
chr5	allele	OTHER	40	0.1	6544	5399	82.50305623471883
chr5	allele	OTHER	40	0.2	4989	4425	88.69512928442573
