loop_id,label_atac_overlap,atac_category,chr1,x1,x2,chr2,y1,y2,resolution,distance,anchor1_width,anchor2_width,loop_span,same_chr,n_assigned_genes,n_components,has_tss_component,has_promoter_component,WHERE,classification,log_distance,log_loop_span,distance_per_loop_span,anchor_width_sum,anchor_width_diff,anchor_width_ratio,where_classification
chr10_100430000_100440000_chr10_100510000_100520000_10000,1,CT,chr10,100430000,100440000,chr10,100510000,100520000,10000,725,10000,10000,90000,1,1,1,1,0,UP,Both_OK,6.587550014824796,11.407576060361786,0.008055555555555555,20000,0,1.0,UP_Both_OK
chr10_100440000_100445000_chr10_100510000_100515000_5000,1,CT,chr10,100440000,100445000,chr10,100510000,100515000,5000,4031,5000,5000,75000,1,1,1,1,0,DOWN,Both_OK,8.302017809751204,11.225256725762893,0.053746666666666665,10000,0,1.0,DOWN_Both_OK
chr10_100560000_100565000_chr10_100595000_100600000_5000,1,CT,chr10,100560000,100565000,chr10,100595000,100600000,5000,12409,5000,5000,40000,1,1,1,1,0,DOWN,One_OK,9.426257878198653,10.596659732783579,0.310225,10000,0,1.0,DOWN_One_OK
chr10_100600000_100610000_chr10_100650000_100660000_10000,1,CP,chr10,100600000,100610000,chr10,100650000,100660000,10000,7830,10000,10000,60000,1,1,1,0,1,DOWN,One_OK,8.965845494750937,11.002116507732017,0.1305,20000,0,1.0,DOWN_One_OK
chr10_100660000_100670000_chr10_100720000_100730000_10000,1,CT,chr10,100660000,100670000,chr10,100720000,100730000,10000,1857,10000,10000,70000,1,1,1,1,0,UP,One_OK,7.527255919373784,11.156264806643742,0.02652857142857143,20000,0,1.0,UP_One_OK
chr10_100670000_100680000_chr10_100720000_100730000_10000,1,CT,chr10,100670000,100680000,chr10,100720000,100730000,10000,7829,10000,10000,60000,1,1,1,1,0,UP,One_OK,8.965717788984849,11.002116507732017,0.13048333333333334,20000,0,1.0,UP_One_OK
chr10_100675000_100680000_chr10_100715000_100720000_5000,0,CT,chr10,100675000,100680000,chr10,100715000,100720000,5000,5329,5000,5000,45000,1,1,1,1,0,UP,One_OK,8.58110651715989,10.714439990727769,0.11842222222222222,10000,0,1.0,UP_One_OK
chr10_100675000_100680000_chr10_100720000_100725000_5000,1,CT,chr10,100675000,100680000,chr10,100720000,100725000,5000,5329,5000,5000,50000,1,1,1,1,0,UP,One_OK,8.58110651715989,10.819798284210286,0.10658,10000,0,1.0,UP_One_OK
chr10_100725000_100750000_chr10_100825000_100850000_25000,1,CP,chr10,100725000,100750000,chr10,100825000,100850000,25000,4023,25000,25000,125000,1,1,1,0,1,UP,Both_OK,8.300031711779575,11.736077016252437,0.032184,50000,0,1.0,UP_Both_OK
chr10_100725000_100750000_chr10_100950000_100975000_25000,1,CP,chr10,100725000,100750000,chr10,100950000,100975000,25000,4023,25000,25000,250000,1,1,1,0,1,UP,Both_OK,8.300031711779575,12.429220196836383,0.016092,50000,0,1.0,UP_Both_OK
chr10_100730000_100740000_chr10_100800000_100810000_10000,1,CP,chr10,100730000,100740000,chr10,100800000,100810000,10000,6523,10000,10000,80000,1,1,1,0,1,UP,One_OK,8.783242963740905,11.289794413577894,0.0815375,20000,0,1.0,UP_One_OK
